PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),Ozone (ug/m3),Air_Quality_Index(AQI),AQI Category,Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),T,TM,Tm,SLP,H,VV,V,VM
158.18,26.38,40.41,42.37,31.98,27.35,329,4,3.96,12.42,31.98,51.98,0.53,153.28,88.77,28.8,35.8,22.4,1006.9,63,2.6,3.9,11.1
120.72,33.06,46.52,50.93,7.64,16.35,300,3,4.7,17.36,32.43,26.03,0.8,108.63,136.16,29.6,36,22.5,1007.6,58,2.7,2.4,11.1
142.47,30.25,46.48,48.65,6.85,15.51,317,4,6.48,23.12,32.14,50.26,0.59,146.87,82.66,29.3,36.4,22,1006.3,59,2.6,0.2,11.1
156.72,21.35,43.22,39.8,7.21,15.35,327,4,5.77,21.57,32.03,52.42,0.59,192.85,77.2,29.6,35,22.2,1006.8,58,2.7,1.7,7.6
164.12,15.37,42.5,34.66,8.67,22.98,334,4,4.67,12.71,31.37,53.77,0.56,235.65,57.27,29.1,35.3,22,1006,60,2.7,2.4,14.8
150.57,41.57,39.71,54.13,7.68,36.18,323,4,5.27,21.72,31.84,43.93,0.54,181.9,83.08,29,35,21.6,1004.5,57,2.6,4.4,14.8
147.9,25.34,37.62,40.07,8.91,16.14,320,4,5.97,11.53,31.58,41.34,0.51,174.21,83.79,28.8,36.4,21.5,1004.4,56,2.6,2.4,13
174.74,39.44,41.76,53.52,8.9,19.2,341,4,7.04,14.96,31.38,39.94,0.53,153.43,80.82,28.2,36.5,19.2,1005.1,54,2.7,3.5,16.5
151.23,9.83,41.77,29.85,8.24,25.78,324,4,2.94,6.84,31.26,42.69,0.71,170.84,83.23,27.2,36.5,19,1006,55,2.3,2.6,9.4
187.3,37.99,42.34,52.66,12.2,41.62,351,4,6.87,19.24,31.12,47.02,0.75,168.95,79.05,26.6,35,18.4,1007.2,56,2.3,4.3,11.1
192.73,33.21,41.71,48.51,9.68,34.82,355,4,7.58,14.72,31.54,59.39,0.5,182.86,76.96,27.4,34.5,18.7,1009.1,53,2.4,4.3,14.8
526.76,34.56,45.25,53.27,21.73,39.93,500,4,8.52,14.27,31.57,49.67,0.55,184.47,70.82,28.5,36,19.4,1008.8,58,2.4,0.6,9.4
281.45,22.88,41.85,40.25,5.88,30.76,500,4,5.99,10.42,30.92,46.27,0.57,225.07,73.37,27.8,36.3,20.5,1007.5,62,1.3,2,13
145.66,15.44,41.96,34.44,6.58,31.84,319,4,3.24,6.37,31.17,40.5,0.57,172.98,74.62,25.9,35.3,18.4,1005.6,61,1.6,3.1,11.1
220.1,29.54,47.38,48.57,6.31,38.64,376,4,6.11,15.21,31.3,42.73,0.48,171.69,73.79,27.7,36,18,1005.9,55,2.3,2.2,11.1
164.05,29.94,42.4,46.23,16.34,31.76,334,4,5.74,13.37,29.89,54.05,0.55,202.23,69.81,24.3,35.4,17.8,1010.9,61,1.9,3.5,14.8
74.39,40.84,48.66,58.27,8.98,34.87,145,2,6.94,21.07,20.22,54.46,0.57,166.9,68.49,23.8,33,17,1013.7,63,1.6,2.6,7.6
159.95,12.48,48.19,35.32,8.26,38.3,330,4,3.05,7.42,29.39,56.27,0.77,149.55,64.31,23.8,33.1,16.1,1014,67,1.9,0.7,5.4
188.44,23.61,52.15,46.34,8.89,43.26,352,4,7.89,18.49,30.3,56.47,0.55,119.87,65.93,23.8,33.2,17.3,1012.8,69,1.8,0.7,5.4
183.9,15.88,50.28,39.17,9.61,45.13,348,4,6.05,16.7,30.07,56.68,0.6,121.32,63.16,23.3,32.8,16.6,1013,69,1.8,0.4,3.5
138.77,12.85,47.64,35.36,7.04,38.79,314,4,4.14,12.28,26.53,68.75,0.77,122.15,58.68,23.5,31.4,17.6,1014,72,1.6,1.7,9.4
160.88,23.6,46.13,43.16,13.67,38.6,330,4,7.04,18.67,25.96,71.79,0.59,127.36,72.42,23.3,32,19.4,1012.9,79,1.3,2.6,9.4
170.53,14.71,42.09,33.91,13.88,37.82,338,4,5.41,10.66,26.11,67.53,0.69,139.55,75.92,22.7,30.3,17.5,1013.5,78,1.1,0.4,3.5
202.51,52.66,44.5,65.54,12.72,31.51,363,4,12.3,27.65,25.71,67.51,0.44,176.98,81.81,22.7,30.1,16.7,1015.7,76,1.1,2,9.4
191.72,33.32,44.75,50.21,11.84,22.45,354,4,5.91,17.03,25.51,61.78,0.51,219.51,76.13,23.2,30.3,16,1015.4,72,1.4,0.6,3.5
422.17,24.61,48.22,45.07,11.91,18.2,500,4,8.01,20.31,25.21,66.55,0.49,197.7,76.43,22.1,31,16.6,1014.6,71,1.4,2,9.4
458.71,26.5,56.36,50.8,7.69,23.55,500,4,7.61,7.77,24.1,81.18,0.52,174.62,78.75,21.1,30,16,1014.4,73,0.6,1.9,11.1
473.07,33.41,60.17,58.29,7.39,33.54,500,4,15.31,40.06,24.27,65.9,0.42,183.41,82.51,19.7,30.2,14,1014,82,0.3,0.4,3.5
404.87,35.11,62.53,61,13.04,28.11,500,4,15.53,39.44,24.57,56.67,0.5,168.53,78.05,20.1,30.4,13.8,1013.2,71,0.5,0.9,7.6
294.37,56.42,56.03,74.29,11.5,24.29,500,4,12.07,36.89,24.03,61.3,0.4,179.4,75.27,19.9,30.5,13,1014.2,72,0.8,0.7,5.4
378.89,34.35,60.11,58.96,10.93,30.94,500,4,8.43,17.54,24,64.17,0.55,138.86,72.66,19.1,28.3,13,1012.3,78,0.5,0.7,5.4
243.99,17.11,59.18,44.84,10.63,36.26,394,4,5.92,11.87,25.04,51.54,1.16,146.41,56.31,19.3,28.5,12.4,1010.9,74,0.6,0.4,3.5
198.82,15.56,58.4,43.18,10.8,31.89,360,4,3.09,6.41,25.11,42.37,1.03,142.76,51.02,20.1,28.5,14.6,1011.2,73,0.8,1.9,7.6
167.57,18.19,47.92,39.31,13.98,23.25,336,4,3.33,10.1,24.04,55.42,0.96,118.55,46.48,17.6,27.7,13.4,1014.2,78,1.3,1.3,5.4
168.91,15.28,46.75,36.84,12.74,20.28,337,4,2.45,5.04,24.1,60.07,0.78,234.14,69.08,19.8,25.6,13.9,1014.4,69,1.8,5.6,13
165.21,12.94,44.21,33.62,12.74,32.35,334,4,1.83,3.53,23.96,41.98,1.16,278.88,63.24,20.4,26.1,15.2,1014.9,72,1.3,2.6,3.5
186.84,17.61,50.24,40.53,8.96,25.6,350,4,2.65,4.57,22.89,38.46,0.88,256.88,66,18.1,24.3,13.5,1016.5,60,1.8,5.6,14.8
170.84,20.55,51.32,43.45,9.66,10.73,338,4,2.44,5.13,22.28,42.2,0.83,251.7,63.98,15.9,24.5,9.4,1017.3,58,1.4,3.9,11.1
181.6,24.54,54.34,48.23,14.79,24.99,347,4,3.35,8.05,22.5,37.09,0.81,266.43,65.18,16,24.4,10.2,1015.1,59,1.8,5.2,18.3
199.68,24.15,55.67,48.63,13.79,27.81,360,4,3.5,9.88,22.64,30.34,0.73,283.18,64.09,16.3,24.7,9.6,1014.1,53,2.1,5.9,14.8
196.68,39.93,56.63,61.75,13.41,25.33,358,4,3.61,12.56,22.18,37.12,0.67,239.9,62.99,15.9,25.5,9.4,1014,60,2.1,3.7,13
188.84,23.44,59.93,50.29,14.88,26.44,352,4,3.08,12.2,22.8,35.19,0.67,256.9,62.36,17.1,26.2,7.6,1015.3,53,2.6,4.4,14.8
222.41,67.71,65.64,88.85,14.9,26.71,378,4,5.81,23.84,22.48,40.99,0.44,216.2,60.77,16.9,26.5,8.6,1016,57,1.9,3.5,9.4
237.7,46.9,62.72,70.61,13.97,25.66,390,4,4.49,20.55,22.52,41.77,0.73,241.67,60.22,16.9,27.5,8.6,1016.7,63,1.6,1.1,9.4
165.67,41,74.17,63.93,11.48,20.37,334,4,4.14,20.06,22.65,43.17,0.56,220.15,87.39,16.3,27.5,9,1013.9,63,1.9,5,13
181.63,165.85,116.06,140.11,16.27,25.58,347,4,12.11,79.43,23.23,43.58,0.46,169.81,126.06,15.2,28.4,8.6,1014,69,1.9,1.7,11.1
232.93,65.5,56.16,82.26,13.42,48.86,386,4,18.81,42.14,23.4,47.18,0.57,158.21,138.06,17.3,29.2,9,1015.5,70,1.9,0.4,3.5
217.98,56,45.99,69.27,10.66,24.82,374,4,7.57,18.5,22.45,49.22,0.52,224.84,58.29,16.7,29.2,9.6,1015.7,66,1.8,1.5,11.1
190.6,55.63,43.28,67.41,10.99,22.7,353,4,6.01,16.01,22.08,44.36,0.46,203.83,79.93,15.7,27.1,8.2,1015.7,66,1.6,1.7,13
297.26,62.43,50.09,76.59,10.66,23.08,500,4,11.05,25.55,21.94,56.53,0.44,186.03,81.5,15.1,26.4,8,1016.6,72,1.3,0.7,5.4
268.48,46.67,48.04,62.85,10.92,18.13,500,4,7.21,16.55,23.18,50.64,0.5,217.56,60.08,16.1,23.9,8.3,1014.9,70,1.4,0.4,3.5
154.67,17.12,35.12,32.43,8.31,20.78,326,4,3.14,8.39,23.43,34.71,0.79,225.35,58.04,18.6,23.5,13.7,1014.7,68,1,4.3,11.1
125.71,15.07,36.47,30.89,7.16,28.18,304,4,2.86,5.83,22.62,24.49,0.89,291.72,67.17,18.1,24,13.3,1014.4,56,1.9,4.6,11.1
148.34,24.13,39.14,40.18,7.89,25.65,321,4,3.23,5.59,22.21,36.13,0.55,222.81,66.11,17.4,25,12,1015.7,47,1.9,6.1,22.2
204.69,59.58,45.45,71.91,20.31,25.36,364,4,7.27,16.79,22.17,49.59,0.44,191.38,71.69,16.6,25.2,9.4,1015.4,52,1.9,6.7,22.2
221.82,80.21,52.65,92.21,23.16,19.44,377,4,3.01,9.18,22.07,56.07,0.64,181.03,57.19,16.1,26.6,0.7,1015.3,60,1.9,1.7,9.4
101.48,17.15,33.64,31.61,4.37,13.71,235,3,2.04,4.89,22.21,80.91,0.9,211.36,85.32,15.7,27.2,7.4,1015,69,1.4,0.4,3.5
130.45,13.61,29.63,16.31,5.43,17.06,307,4,2.18,4.73,21.88,79.65,0.85,296.96,79.25,16.6,27.2,8.2,1013.8,77,1.6,3.1,9.4
116.73,13.07,28.25,21.75,9.23,18.84,286,3,2.01,3.86,20.88,80.58,1.09,259.65,79.37,17.3,24.2,13.8,1015.7,86,1.3,3.9,14.8
133.07,10.63,26.88,9.73,7.11,16.39,310,4,2.06,4.72,20.3,74.93,1.28,199.05,72.71,15.7,21.7,12,1018.2,85,1,3.3,7.6
125.14,11.78,28.02,5.24,8.66,18.17,304,4,2.39,4.68,20.29,69.99,1.24,309.8,74.51,13.6,21.3,9.6,1020.1,83,0.8,4.8,11.1
109.69,11.02,30.51,18.45,8.14,21.49,262,3,2.22,3.22,20.82,50.07,1.09,284.61,70.38,12.7,19.5,8,1021,78,1,6.1,11.1
137.85,11.61,32.06,20.71,10.78,24.86,313,4,2.41,3.66,21.68,44.57,1.04,288.9,68.45,13.3,20.5,7.6,1021.5,72,1.4,10.9,22.2
164.89,15.73,36.64,32.06,14.25,17.76,334,4,3.46,6.47,21.67,46.49,0.73,279.29,65.03,14.7,22.6,7.8,1021.1,62,1.9,13.1,18.3
217.61,26.4,35,39.72,20.63,14.11,374,4,5.25,9.77,21.17,64.55,0.5,231.24,57.8,15.9,24.6,9.8,1019.7,62,1.9,8,14.8
276.79,17.31,33.04,28.07,20.75,17.59,500,4,5.69,14.41,22.38,66.35,0.57,233.95,64.74,15.2,25.6,9.6,1019.9,70,1.4,4.4,9.4
187.95,16.52,28.04,12.58,18.16,18.38,351,4,4.29,9.18,21.73,57.47,0.88,272.08,66.47,16.4,23.7,9.6,1020.6,82,0.5,2.8,9.4
156.83,11.38,23.83,21.78,14.32,21.57,327,4,3.19,5.92,22.84,48.55,0.87,288.63,68.78,17.4,25,12,1020.8,76,0.8,1.3,9.4
161.19,19.5,25.92,29.39,17.31,23.93,331,4,4.23,9.95,25.16,55.41,0.48,183.29,78.31,17.9,25.2,11,1018.2,61,1.4,10,18.3
294.52,25.84,26.7,34.88,26.08,17.74,500,4,8.52,19.19,24.99,65.02,0.58,213.64,88.84,16.1,25.3,10.6,1015,65,3.1,6.7,16.5
220.71,19.3,26.62,29.61,19.71,18.11,376,4,5.65,11.15,24.86,67.95,0.63,232.97,94.1,15.6,25.2,6.3,1015.9,67,1.3,0.7,5.4
181.65,39.95,35.38,50.71,13.21,15.15,347,4,6.6,13.17,25.21,63.32,0.56,214.29,94.83,13.5,25.1,7,1017.8,79,1,3.9,13
300.56,58.32,37.46,66.59,21.09,10.61,500,4,8.48,18.68,25.41,60.49,0.56,184.22,90.11,14.4,23.2,7.1,1017.7,74,1.3,2,7.6
275.7,43.71,39.22,55.83,16.6,18.22,500,4,6.46,17.14,25.22,61.28,0.49,194.92,90.04,15.1,25,7.6,1017.1,71,1.3,3.5,13
288.93,35.8,24.78,41.33,23.96,15.21,500,4,9.14,23.02,24.96,68.05,0.54,201.63,93.78,15.1,25.4,7,1016.7,70,1.4,2.2,13
280.5,4.95,14.55,9.36,23.09,14.28,500,4,9.31,21.91,24.4,77.53,0.53,200.23,91.79,15.3,25.3,6.8,1017.4,67,1.1,2.6,11.1
287.99,4.43,26.61,1.97,20.16,11.83,500,4,9.09,18.21,23.92,71.5,0.56,195.13,92.99,14.7,25.3,7.2,1017.3,74,1,0.6,3.5
223.23,17.38,48.9,0,5.82,14.08,379,4,3.92,6.82,20.2,83.2,0.77,223.43,85.19,12.2,23.9,5.7,1014.5,88,0.3,0.7,5.4
194.59,15.44,51.96,0,7.67,17.97,357,4,5.05,7.07,14.64,59.01,0.62,207.77,92.19,11.8,20.1,8.4,1015.3,89,0.3,2.8,9.4
236.4,15.33,56.88,0,8.42,16.39,389,4,4.58,7.78,15.37,67.68,0.88,149.38,81.47,11.3,18.2,6.7,1015.6,85,0.6,3.5,9.4
239.29,26.8,49.93,0,12.74,14.87,391,4,6.05,12.04,14.59,74.28,0.62,228.14,89.79,12.2,20.2,5,1015.9,81,0.6,4.4,9.4
217.04,21.2,47.22,0,13.91,17.21,374,4,4.99,10.54,14.99,68.61,0.88,249.59,96.43,11.6,17.6,7.6,1015,82,0.6,3.5,9.4
195.89,17.92,50.55,0,8.2,19.56,357,4,3.42,6.28,15.57,53.42,0.67,262.95,88.37,11.4,20.8,4.2,1014.3,76,0.6,3.9,9.4
234.78,67.58,65.21,0,14.13,17.81,387,4,5.62,9.68,15.32,62.92,0.68,238.4,91.31,13.2,20.8,6.4,1015.2,69,1.4,8.5,14.8
211.82,38.23,66.03,0,9.63,20.93,370,4,3.94,6.15,15.8,57.5,0.92,255.75,92.18,12.1,20.7,5,1017.6,72,1.4,3.9,11.1
189.65,19.32,64.8,0,7.16,20.89,353,4,3.02,4.4,16.21,50.79,0.92,284.45,87.23,12.2,21.7,4.2,1019.1,75,1.4,5.7,18.3
186.2,35.34,64.11,0,8.21,17.94,350,4,3.17,5.18,16.14,51.3,0.76,242.36,85.89,14.8,23,6.8,1018.4,67,1.4,11.5,24.1
221.07,113.36,66.12,0,16.58,17.99,377,4,5.54,12.89,16.19,57.16,0.59,228.14,91.07,14.4,23.4,8,1016.6,68,1.4,10.2,22.2
210.46,60.59,64.31,0,13.17,19.3,369,4,4.65,9.14,16.03,51.13,0.68,233.51,90.4,14.6,22.7,8,1015.8,70,1.6,5.2,16.5
241.91,84.86,62.71,0,13.79,18.97,393,4,5.53,10.12,15.94,57.09,0.88,247,93.02,13.6,23.7,5.5,1016.1,68,1.4,4.4,18.3
157.42,16.83,55.8,0,6.46,29.16,328,4,2.25,4.81,16.75,42.8,0.91,282.25,83.45,14,23.7,5.7,1016.2,69,2.3,4.8,14.8
235.44,89.77,65.82,0,15.47,27.13,388,4,7.51,34.11,16.45,54.2,1.07,155.48,87.7,14.7,25,6.4,1015.6,70,1.4,9.4,24.1
240.93,25.37,41.17,42.16,8.47,27.23,392,4,5.1,7.9,17.58,60.01,0.62,169.64,87.96,16.1,24.5,9.1,1013.6,59,1.9,6.9,14.8
298.24,31.94,36.55,45,15.04,17.79,500,4,7.03,14.92,16.58,71.2,0.68,234.01,94.66,13.6,25.5,5.6,1015.3,80,0.8,3.7,13
254,16.94,30.95,30.02,10.69,20.18,500,4,4.47,5.91,16.74,59.21,0.97,296.18,93.01,16.1,27.2,7,1015.2,76,1,0.9,7.6
199.24,25.5,30.26,36.49,11.63,24.5,360,4,4.67,6.81,16.23,51.97,0.51,212.46,92.76,15.8,24.2,9.5,1016,79,1,4.6,11.1
297.54,52.78,36.78,61.79,11.17,31.77,500,4,9.62,19.27,16.65,50.35,0.64,162.93,85.8,14.2,24.9,8,1014.9,75,0.6,5,13
188.96,13.31,35.49,29.53,9.97,18.4,352,4,3.54,4.48,16.59,61.83,1.23,153.46,72.23,13.9,25.2,5,1014.7,70,1.9,0.4,3.5
149.09,12,20.71,20.62,8.91,16.42,322,4,3.25,5.58,15.77,74.33,0.89,235.94,95.27,15.5,25.8,5.9,1012.9,74,1.6,2.6,11.1
120.27,11.7,19.54,19.74,5.62,16.63,300,3,2.94,5.14,15.37,83.99,0.86,292.32,91.15,12.7,25.2,9.4,1011.1,91,0.8,4.8,9.4
119.21,11.46,17.96,18.73,7.33,15.97,296,3,3.88,5.63,14.93,85.15,0.76,187.45,98.6,13,18,7.4,1013.9,89,0.6,3.9,44.3
152.74,11.6,21.76,20.86,4.21,18.29,324,4,2.76,2.3,15.27,75.7,0.86,133.43,93.84,12.5,18.9,8.8,1013.4,90,0.6,8.3,16.5
167.43,24.15,26.24,32.88,11.73,13.05,336,4,0.9,0.04,15.43,74.39,0.74,207.52,107.72,12.1,18.4,7,1014.1,89,0.5,4.4,9.4
166.63,5.45,20.52,15.28,12.01,21.25,335,4,0.87,1.52,15.87,67.08,0.69,230.58,106.98,13,20.2,8,1014.4,79,0.6,4.3,9.4
176.96,49.97,56.73,70.16,14.33,23.96,343,4,2.06,7.33,17.29,54.01,0.91,263.77,98.77,13.5,21.7,6.4,1015,73,0.8,5.4,11.1
133.03,15.97,63.56,46.61,9.65,31.46,310,4,1.3,6.4,17.91,53.28,1.27,305.96,89.02,14.3,23.4,7,1016.2,73,1.3,6.5,14.8
139.13,35.67,78.99,70.55,10.1,23.32,314,4,1.3,6.46,18.11,47.86,0.64,254.46,83.22,16.9,26.4,9.8,1015,63,1.6,14.1,20.6
151.06,57.26,68.2,82.08,11.53,22.32,324,4,1.57,6.47,18.02,57.47,0.74,213.38,86.4,17.2,26.9,9.9,1014.3,69,1.4,13,25.9
140.26,20.27,53.25,44.53,10.95,32,315,4,2,6,17.97,41.57,1.02,168.21,86.76,18.7,27.2,11,1013.9,69,1.4,3,13
145.39,17.45,52.4,41.83,11.29,31.78,319,4,2,6.02,17.04,43.18,1,259.2,87.01,17.7,27.8,10.5,1012.7,69,1.6,3.7,14.8
165.85,37.5,55.91,59.74,11.65,26.27,334,4,1.99,6.01,16.37,42.68,0.69,220.78,76.66,16,26.5,9.3,1015.4,57,1.4,4.4,13
167.81,34.58,57.8,58.41,11.68,16.88,336,4,1.82,5.58,17.52,36.56,0.96,225.75,73.02,14.4,24.6,9,1015.7,61,1.9,4.8,11.1
125.51,19.46,42.88,38.39,7.18,21.98,304,4,1.77,5.4,16.94,39.54,0.93,290,88.73,15.1,23.7,6.3,1018.4,55,1.4,3.7,11.1
203.25,34.17,38.97,48.07,11.1,15.23,363,4,2,6.02,16.63,43.68,0.6,208.51,88.13,16,22,11.4,1017.5,54,1.8,8.5,14.8
206.49,47.18,36.57,57.19,11.11,20.43,366,4,1.75,5.25,16.54,49.7,0.68,190.74,102.21,15,23.6,8.5,1014.6,55,1.4,7.4,22.2
239.63,49.21,43.1,62.29,16.65,32.81,391,4,6.15,18.67,17.06,44.52,0.55,125.96,77.73,13.9,24.1,5.5,1013.8,61,1.6,1.7,9.4
181.49,29.96,40.16,45.33,16.57,32.19,347,4,6.58,13.92,18.11,28.03,1.13,139.46,62.7,14.6,24,6.1,1014.4,59,1.3,2.2,7.6
84.91,17.71,28.56,29.37,5.05,28.55,179,2,1.4,3.75,19.47,70.29,1.13,207.87,79.41,17.4,25.6,8.5,1015.1,59,1.9,6.5,14.8
92.01,12.25,24.75,22.96,4.4,29.02,204,3,0.96,3.17,19.31,62.59,1.3,298.87,78.92,16.4,25.4,13,1018.9,78,1.9,7.6,14.8
94.28,11.13,24.37,21.87,5.13,32.04,211,3,1.35,3.3,19.55,62.73,1.3,313.26,71.39,16.4,23.4,9,1022.5,75,1.6,5.2,14.8
116.19,13.93,28.08,26.08,9.01,30.71,286,3,1.81,3.94,20.11,66.3,0.9,283.08,77.22,16.4,23.5,10.2,1021.6,63,1.8,11.1,25.9
130.93,12.75,29.39,25.83,9.49,31.86,307,4,1.83,4.62,20.74,64.16,0.97,268.55,73.93,17.5,23.4,11.6,1019.6,66,2.4,9.8,25.9
141.46,14.13,27.45,25.9,10.41,35.5,316,4,1.86,5.3,24.15,54.24,0.87,220.4,106.29,17.7,24.8,11.2,1017.3,73,1.4,4.8,13
165.86,31.14,28.07,39.82,14.3,26.94,334,4,3.59,7.5,23.87,47.23,0.67,232.06,99.99,18.4,25.4,12.6,1012.5,67,1.4,5.7,14.8
174.05,29.48,28.5,38.75,13.77,23.33,341,4,2.7,5.7,24.24,54.43,0.71,235.53,107.6,16.9,26.4,12.2,1012.4,69,1.9,3.7,11.1
216.81,53.88,36,62.25,15.33,28.27,373,4,6.29,22.6,26.35,49.95,0.54,186.92,95.54,18.1,26.6,10,1013.9,60,1.6,3.3,18.3
200.05,27.79,32.79,39.67,19.12,9.47,361,4,2.8,7.28,27.93,55.7,0.65,178.37,102.83,19,28.2,10.1,1012.9,62,2.1,4.4,14.8
163.6,31.24,25.69,38.66,17.09,9.21,333,4,4.18,17.34,28.6,50.81,0.64,127.27,91.1,21.5,31.2,12.5,1010.5,59,1.8,1.5,5.4
149.45,16.5,28.1,28.14,19.03,31.27,322,4,3.21,10.33,29.24,42.43,0.79,135.86,82.14,22,31.7,14,1009.7,63,1.9,0.9,3.5
119.54,13.66,27.71,25.67,14.81,27.08,296,3,2.27,5.85,28.48,49.27,1.12,143.64,79.17,22.8,32,15.5,1009.6,64,1.9,0.9,3.5
65.42,10.26,18.27,17.94,7.95,29.06,114,2,0.92,1.35,27.21,61.91,1.62,325.65,77.19,23.9,31.1,17,1012.1,68,1.8,2.4,7.6
73.55,10.74,22.88,20.76,10.57,23.65,141,2,1.22,3.17,27.95,54.23,1.14,307.17,70.82,22.5,31.6,17,1015.4,65,1.9,7.4,16.5
131.51,24.38,35.09,38.17,18.11,15.65,308,4,3.39,9.1,28.09,64.69,0.73,183.79,80.55,21.1,29.4,14.5,1012.8,64,2.6,11.3,25.9
139.11,16.97,33.67,31.49,14.66,11.58,314,4,2.97,6.11,28.02,55.9,0.84,169.6,71.41,22.3,29.8,15.4,1012.6,65,1.9,6.3,24.1
126.29,19.81,33.91,33.88,15.45,12.51,304,4,4.02,8.04,28.44,50.68,0.87,192.6,72.22,22.9,30.2,15.4,1012.5,68,1.6,2,7.6
98.71,15.74,31.34,29.26,13.25,9.86,224,3,2.26,3.57,28.81,49.58,0.7,179.92,64.8,21.7,30.7,14.9,1010.8,62,1.6,1.7,7.6
82.66,12.93,30.61,26.63,10.25,10.25,172,2,1.76,3.5,28.45,48.04,1.19,163.11,60.6,22.9,31,15.5,1009,58,2.3,3.9,14.8
77.22,13.25,31.6,27.41,10.48,20.46,155,2,2.18,2.48,27.8,51.48,1.01,247.9,86.29,24.1,32.3,16.6,1006.9,53,2.1,2,9.4
73.48,11.97,32.5,26.86,9.72,23.67,141,2,0.88,2.8,27.06,49.04,1.3,264.93,79.42,22.6,33.1,17.3,1009.3,54,1.9,5,14.8
83.57,11.47,31.48,25.91,11.67,29.01,176,2,2.04,2.72,26.77,46.07,1.19,276.79,85.07,22.2,31.7,14.5,1013.1,52,2.4,6.3,11.1
116.68,36.37,38.94,49.8,15.07,32.96,286,3,3.69,8.73,27.09,47.06,0.65,182.7,84.38,21,28.8,14.8,1013.4,56,1.8,12.8,31.7
129.41,27.89,43.31,45.35,20.6,26.21,307,4,7.52,24,28.03,42.23,0.84,190.42,75.89,21.8,29.4,14.7,1012.3,53,2.6,7.6,22.2
79.09,11.1,33.11,26.49,11.53,24.25,162,2,1.57,3.57,27.98,42.01,1.17,215.12,80.81,22.6,31.6,13.3,1013.2,57,2.3,3.1,14.8
81.59,11.11,31.96,25.89,12.74,26.65,169,2,2.05,2.16,27.67,48.81,1.1,217.23,78.37,23.4,32.2,14.8,1013.1,52,1.8,3.5,11.1
108.19,28.39,37.74,42.78,17.41,23.31,259,3,3.55,6.94,28.6,42.57,0.95,235.68,122.04,23.9,32.2,16,1011.8,50,2.3,6.7,22.2
86.2,17.65,38.66,34.69,14.37,23.97,186,2,2.56,5.48,30.2,37.1,0.88,219.29,142.65,23.6,32.6,16.5,1011.8,54,2.3,4.3,11.1
108.13,29.01,41.14,45.1,14.23,22.4,259,3,3.28,10.32,30.33,20.16,0.78,213.82,254.89,24.8,34.4,16.4,1010.8,49,2.6,5.4,14.8
122.91,17.21,39.28,34.66,12.94,18.43,301,4,2.62,6.25,29.86,28.29,1.11,210.76,249.99,25.9,35.6,17.1,1008.9,45,2.3,2.8,11.1
119.66,14.75,33.54,29.64,12.85,27.9,296,3,2.15,5.42,28.5,43.05,1.13,186.77,257,24.8,36.2,17,1007.1,47,2.7,1.9,9.4
92.26,11.38,31.92,26.09,13.4,28.69,204,3,1.71,2.26,26.85,33.23,1.34,226.07,98.48,25,34.1,17.2,1007.8,51,2.6,11.3,27.8
88.74,12.01,33.31,27.32,12.65,31.8,193,2,2.16,2.86,26.95,30.69,1.14,211.06,97.69,24,32.4,16.8,1009.1,52,2.4,6.3,11.1
87.08,11.49,31.61,26,10.17,36.56,189,2,1.65,2.39,27.81,30.92,1.25,168.37,124.81,24,31.2,17.5,1010.4,44,2.7,6.1,18.3
119.22,14.72,34.69,30.22,12.56,35.05,296,3,2.06,5.93,28.61,43.07,0.88,181.61,76.83,23.5,31.6,14.6,1012.1,44,2.6,5,11.1
164.15,22.12,43.9,41.04,17.75,23.04,334,4,5.35,15.51,28.84,44.41,1.04,176.42,126.77,24.6,34.4,15,1012.9,44,2.3,4.4,14.8
106.19,12.84,25.52,23.85,8.8,15.54,252,3,2.31,3.76,27.67,61.25,1.45,171.39,191.09,26.1,35,16.5,1009.2,45,2.6,2.2,5.4
78.8,11.86,24.39,22.47,7.74,28.02,159,2,1.5,2.21,27.04,55.32,1.41,223.69,114.5,26.1,35,21,1007.8,53,2.6,5.6,14.8
107.97,12.26,29.77,25.64,8.44,31.13,255,3,1.92,3.32,27.11,50.02,1.28,229.27,113.97,24.8,33.2,18.5,1008.6,56,1.9,4.4,11.1
119.73,11.75,28.94,24.79,8.99,33.32,296,3,2.38,3.48,27.6,49.78,1.4,303.58,111.81,24.1,31.1,18,1010.5,54,1.8,7.4,18.3
104.91,12.27,30.28,25.93,10.14,36.58,245,3,2.87,2.71,28.76,44.64,1.33,287.13,111.28,25.4,31.6,18.3,1012.5,49,2.6,6.1,11.1
126.34,22.27,33.99,35.9,11.12,29.49,304,4,3.54,6.54,30.01,34.28,1.01,224.97,115.72,25.7,32.3,18.5,1013.6,49,1.9,8.7,22.2
157.75,49.19,39.36,60.28,15.98,30.36,328,4,5.45,18.95,30.67,29.72,1,207.11,116.35,26.3,33.6,19.5,1011,44,2.6,9.1,22.2
113.12,11.77,29.68,25.2,10.42,33.19,276,3,2.75,3.34,30.63,35.19,1.43,304.33,114.51,27.1,36.8,17.3,1007.9,38,3.2,4.6,14.8
