PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),Ozone (ug/m3),Air_Quality_Index(AQI),AQI Category,Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),T,TM,Tm,SLP,H,VV,V,VM
43.67,3.8,27.23,29.43,3.4,42.25,72,1,2.09,12.66,15,44.38,1.33,124.05,119.34,32.7,39.4,25.2,1003.9,52,2.6,15,27.8
53.04,7.02,41.85,46.67,4.69,41.58,88,1,3.31,20.07,14.91,42.86,0.8,167.02,120.78,31.2,39.4,24.2,1005.8,52,2.7,5.4,14.8
89.83,57.65,60,102.48,9.4,32.56,196,2,7.28,44.07,18.53,33.92,0.69,190.15,122.14,30.2,37.6,23.6,1006.3,47,2.6,4.4,11.1
78.31,34.71,56.46,83.95,7.71,35.81,159,2,5.96,36.1,27.54,36.24,0.72,194.36,121.9,30.9,38.9,21.7,1006.7,44,2.7,3,11.1
97.83,114.41,69.56,160.87,13.71,33.54,221,3,12.29,77.72,27.9,32.34,0.7,218.14,119.18,30.8,39.5,22,1006.6,43,4.2,3.9,13
90.4,73.62,63.81,116.98,7.09,26.96,200,2,8.31,102.94,34.08,30.76,0.76,223.55,119.59,32.3,40.8,21.3,1004.1,34,2.6,7.6,20.6
64.02,21.39,46.36,58.9,3.32,19.83,111,2,4.18,43.4,34.58,27.08,1.06,243.99,125.05,34.2,42.7,24.5,1002,27,2.7,11.3,22.2
56.79,14.65,41.89,49.89,2.94,17.36,93,1,3.54,3.99,34.6,27.72,0.96,256.15,116,35.7,42.7,27.6,1003.4,21,1.9,14.4,27.8
83.5,60.09,47.48,94.3,4.21,11.96,176,2,6.7,7.54,34.55,30.9,0.66,202.35,115.52,34.1,42.7,27,1003.2,29,1.9,12.2,27.8
65.77,22.67,47.69,61.99,3.27,18.33,114,2,4.4,4.96,34.28,28.83,0.64,205.13,111.69,35.1,42.7,25.7,1001.6,35,2.3,8.3,18.3
49.48,6.43,35.12,38.02,2.5,34.4,82,1,2.7,3.04,34.31,36.6,0.93,184.9,105.82,35.1,42.6,26.2,1001.4,33,2.3,6.9,14.8
