PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),Benzene (ug/m3),T,TM,Tm,SLP,H,VV
65.03,6.86,20.87,19.88,1.39,37.6,42.4,30,998.8,32,1.9
102.31,5.11,18.76,17.02,1.21,36.7,42.4,31.6,999.8,42,1.9
58.93,5.04,19.67,17.44,1.24,35.8,41.7,29.6,1000,43,2.6
75.27,7.03,22.45,20.48,1.45,35.9,41.6,29,998.5,43,2.7
62.92,17.59,39.35,37.78,2.68,31.9,41.6,28,998.8,52,2.3
75.88,4.36,20.23,17.19,1.22,27,39.7,20.5,1000.2,82,1.9
90.25,7.19,28.43,23.71,1.68,30.8,34.9,25.5,999.4,66,1.9
89.58,9.2,39.17,30.98,2.2,32.3,38.6,26,999.3,58,1.9
105.8,34.35,66.48,65.39,4.64,33.8,39.7,26.2,998.1,56,1.9
94.4,4.35,42.58,28.88,2.05,35.1,41.1,27.7,997.3,52,1.9
76.19,4.24,26.34,20.29,1.44,35.9,41.6,29,996.7,54,1.9
63.4,4.78,22.24,18.54,1.32,33,42.3,27.2,997.8,56,1.9
69.23,4.99,29.04,22.3,1.58,30.4,34.4,25.3,997,70,1.9
72.41,7.08,44.53,32.07,2.28,32.1,38.2,28.6,995.5,65,2.7
78.85,7.49,36.38,28.15,2.07,31.6,39.4,27.2,994.9,67,2.6
29.92,4.61,19.71,17.12,1.22,29.8,35.2,24.2,995.5,75,1.3
67.33,9.38,26.12,24.29,1.72,26.5,36.8,22.4,994.9,86,1.8
72.67,5.43,17.41,16.57,1.18,31.5,36.8,24,994.7,62,1.8
71.49,4.97,21.79,18.49,1.31,32.7,38,27,996.9,56,1.9
69.96,4.28,26.3,20.29,1.44,34.4,39,27,999.7,56,1.9
59.46,4.14,19.79,16.73,1.19,31.1,39,26.2,1004,64,1.9
61.26,5.67,29.79,23.23,1.65,31.1,36.2,27.7,1002.3,65,1.9
66.97,4.83,23.63,19.34,1.37,31.9,37.8,25,1001.8,61,1.9
70,5.69,21,18.65,1.32,33.8,38.9,27,1001.1,54,1.9
109.45,5.24,16.15,15.75,1.12,33.4,39.8,27.6,999.7,54,1.9
124.08,5.91,18.58,17.56,1.25,34.1,39.8,26.6,997.8,60,1.9
79.36,9.54,30.17,26.53,1.88,35.3,38.4,31.2,995.3,56,1.8
56.96,5.69,24.68,20.58,1.46,27.8,38.4,25.6,997.9,85,1.9
70.02,5.03,29.34,22.49,1.6,28.3,33.6,23.3,998.4,87,1.9
65.51,80.88,5.5,2.63,0.46,22.1,28.8,15.3,1016.8,69,1.9
275.97,0.33,8.93,4.86,2.42,22.4,29.7,15.9,1016.8,71,2.7
351.54,0.26,9.1,4.85,3.17,22.3,29.8,15.6,1016,73,1.6
204.84,5.18,15.23,9.29,1.76,22.9,31.4,16.2,1016.1,73,1.4
148.41,42.36,77.07,77.23,1.34,23.4,31.8,17.3,1015.8,75,1.6
344.59,12.44,28.11,30.76,3.4,23.9,31.8,18.6,1014.2,73,1.8
230.28,15.13,43.1,37.32,1.52,23.8,31.9,17.5,1012.2,72,1.6
185.24,10.51,28.61,35.25,1.04,22.2,31.9,19.6,1012.4,79,1.9
369.9,14.12,42.02,33.21,1.97,23,30.2,17.4,1012.4,79,1.4
144.34,3.99,72.35,40.76,0.77,21.9,30.2,16.1,1014.8,79,0.5
268.26,27.72,85.72,67.06,1.47,21.9,29,17.1,1016,75,1.1
117.9,145.56,66.17,142.99,6.94,22.1,29.8,16.1,1015,77,1.3
87.73,14.1,39.83,31.04,0.78,22.7,29.8,16,1013.4,77,1
121.88,6.37,32.18,21.3,0.84,21.8,29.4,15.4,1014.4,64,1.4
130.23,6.35,36.61,23.6,0.94,21.9,29.3,16.5,1015.2,65,1.6
117.47,13.27,30.98,27.55,1.09,22.3,29.3,16.1,1014.9,64,0.8
109.53,38.33,27.32,45.11,1.79,21.9,32,16,1012.4,56,1.9
124.77,57.2,34.16,64.49,2.56,19.9,29.2,13.9,1013.5,55,2.4
147.26,111.1,44.68,113.14,4.64,18.6,28.6,11,1016.4,62,1.4
156.18,134.97,48.24,134.08,5.32,18.5,27.7,11.5,1017.6,68,1.3
154.95,131.31,47.69,130.87,5.19,18.6,27.7,11.4,1016.4,69,1.1
144.41,166.31,43.29,156.6,6.21,18.8,28.5,11.5,1015.4,69,0.8
150.45,45.05,45.67,60.48,2.4,18.7,29.2,11.8,1015.1,68,1.3
141.92,26.3,41.85,43.89,1.74,18.5,29.3,11.1,1016.1,66,1
155.31,53.39,47.85,68.69,2.72,19.3,28,13,1014.7,61,1.9
146.14,38.85,43.74,54.87,2.18,20,29.1,11.9,1012.6,64,1.4
126.04,34.15,34.72,46.43,1.84,18.4,29.1,13.5,1011.4,71,1.3
149.71,16.96,45.49,38.33,1.52,19.1,24.5,14.7,1015.7,84,0.5
140.03,169.29,41.32,157.95,6.26,18.2,24.5,12.2,1018.1,85,0.3
126.68,39.71,35.1,51.35,2.06,19.7,28,14,1016.7,84,0.5
102.25,31.62,24.06,38.81,1.54,19.3,28,13.8,1014.7,81,0.6
98.3,28.29,22.29,35.16,1.39,17.9,26.2,13.5,1016.2,75,0.8
95.77,13.55,20.21,22.35,0.93,17.6,24.6,11.2,1016.1,75,0.8
117.46,101.98,30.88,98.67,3.91,17.7,26.7,12.4,1014.9,71,1.3
128.38,145.42,35.85,136.02,5.39,17.4,27.6,10.1,1015.8,74,1
115.68,16.98,30.08,30.2,1.2,17.2,27.6,10.5,1016.4,78,0.6
120.03,37.26,32.03,47.53,1.89,17.8,26.2,11,1017.1,79,0.6
133.7,45.08,38.16,57.02,2.26,20.2,27,12,1015.8,68,1
104.77,13.33,25.19,24.82,0.98,19.2,26.9,11.6,1015.4,78,1
98.72,15.19,22.48,24.89,0.99,20.1,25.5,13.7,1011.7,74,1
