PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),Benzene (ug/m3),T,TM,Tm,SLP,H,VV
113.12,11.77,29.68,25.2,2.75,27.1,36.8,17.3,1007.9,38,3.2
114.31,14.29,32.96,28.96,2.64,28.8,38.6,17.6,1007,36,2.6
111.43,13.37,32.78,28.13,2.97,27.8,38.6,19.6,1006.3,42,2.6
111.57,10.95,26.25,22.72,1.67,27.9,36.1,20,1004.4,41,2.7
80.38,11.17,31.13,25.49,2.09,26.9,36.2,20,1007.6,51,2.9
82.6,11.33,35.82,28.12,2.17,27.8,34.8,20,1008.6,52,2.7
85.18,11.59,34.1,27.31,3,27.6,36.2,20.8,1009,53,2.6
135.31,22.91,38.49,38.8,5.88,29.4,38.2,21.4,1007.2,49,2.6
94.32,11.47,29.96,25.11,2.62,30.2,38.6,23,1004.3,48,2.6
59.85,12.27,25.26,23.26,0.87,30.4,39,23.2,1003.6,46,2.1
63.77,11.39,24.87,22.34,1.4,27.8,37.6,21,1006.2,52,2.3
61.89,11.55,24.36,22.2,1.29,27.9,36.6,19,1008.3,57,2.7
120.93,23.23,33.86,36.59,4.01,29.4,35.6,23,1008.8,51,2.3
64.13,10.36,27.46,22.36,1.44,25.2,36.3,20.2,1010.1,67,2.9
42.02,10.81,27.62,19.1,0.99,28.4,35,21.4,1007.7,50,2.6
102.4,19.18,45.62,29.49,2.75,26.6,35.5,23.6,1008.2,54,2.6
111.78,31.46,45.63,37.35,2.97,26.8,33.4,17.6,1007.3,48,3.1
99.78,21.03,43.01,29.95,2.78,25.8,34.4,18.2,1008.3,38,2.3
108.42,24.77,51.74,34.78,3.54,28.1,36,18.2,1006.8,36,3.1
85.82,15.48,45.12,26.98,2.31,30.1,38,20.5,1006,39,2.7
103.02,13.32,40.01,24.17,1.86,30.8,39.4,22.4,1006.3,40,1.9
118.23,12.54,47.74,25.84,2.17,31.4,40,23.3,1007.6,31,2.6
99.69,12.38,43.72,24.6,1.79,32,38.6,23.7,1006.5,27,2.7
198.03,10.5,29.23,19.34,0.93,31.1,39,23,1003,32,2.6
106.56,9.92,30.86,19.43,1.04,32.7,39.4,24,1002.6,26,1.9
108.38,10.07,36.75,21.18,1.47,29.2,39.5,24,1007.9,31,2.6
151.36,15.12,46.53,27.15,0.89,28.6,34.4,21.2,1008.1,24,2.3
125.57,29.22,52.16,37.75,1.01,29.2,35.4,22,1006.8,26,2.6
166.78,49.64,53.15,51.09,5.72,29.8,37.8,20.5,1005.5,31,2.7
119.86,16.23,53.45,29.8,2.46,31.7,41.4,20.8,1002.3,26,2.6
95.09,9.79,32.51,19.81,2.46,33.2,41.6,25.5,1001.5,31,1.9
94.37,10.12,31.22,19.66,2.44,32.4,42,26.4,1004.7,48,3.1
85.6,15.11,39.7,25.23,2.09,33.3,39.2,28.4,1003.8,43,1.9
67.9,10.07,26.75,18.38,1.25,32.4,39.6,26.2,1000.4,49,2.4
71.46,9.86,25.85,18.48,2.07,33,40.4,25,999.8,43,2.3
61.64,10.31,23.56,20.79,1.21,31.7,40,26.5,1003.4,52,2.7
43.72,9.86,20.46,18.77,0.88,28.8,37.6,20.2,1004.7,59,1.6
70.86,9.27,28.24,22.43,1.73,29.6,34.2,25,1005.8,52,1.9
106.69,19.87,40.67,37.54,5.1,30.2,36.4,22.6,1005.2,59,2.7
81.98,15.85,32.17,29.79,2.4,32.3,38.4,25.6,1004.3,49,2.7
92.86,10.74,27.57,23.25,1.74,31.3,39.1,26.5,1005.4,42,1.9
79.03,9.68,30.83,24.15,1.29,31.2,38,24,1003.2,40,1.9
80.74,12.71,34.76,28.66,2.08,29.1,39.6,24.6,1004.3,43,1.8
122.56,14.72,45.39,35.93,4.31,28.3,35.2,22.4,1006.1,57,1.9
136.71,9.08,48.39,33,4.59,30.9,38.6,21.5,1006.2,43,1.9
113.16,6,26.25,18.76,2.52,33.6,41,24.2,1002.5,37,2.3
63.28,6.21,26.47,19.04,0.74,34.8,42.8,26.7,1002,47,1.9
74.94,6.14,30.5,21.13,1.09,29.9,42.2,24.4,1003.5,56,1.8
86.62,7.87,32.7,23.7,0.82,30.2,35.6,24,1004.6,53,2.6
122.82,7.1,31.3,22.32,1.45,32.2,37.4,26.4,1002.2,54,2.7
101.31,8.99,31.69,24.05,1.45,34.2,40,25,1001.6,34,2.7
113.46,17.45,44.02,37.37,1.45,34.3,41.2,26.1,1001.6,33,2.3
75.72,6.68,27.92,20.2,1.45,33.2,41.8,26.7,1001.4,40,1.9
89.53,7.06,28.71,20.92,1.45,33.1,41.2,26.4,1001.7,40,1.9
103.26,7.16,30.65,22.03,1.56,33.2,41.4,27,1002.8,33,2.6
150.44,26.72,43.97,44.77,6.48,34.1,41.2,25.5,1002.9,26,2.7
117.29,7.46,36.31,25.27,4.21,35,43,26.2,1002,30,3.1
100.16,10.69,33.36,26.3,2.58,34.8,44,26.7,1000.3,37,1.9
112.31,12.17,34.13,27.89,2.97,33.1,43,26.5,1000.2,39,2.6
129.43,15.13,34.89,30.66,2.96,34.5,43,23.8,1000.1,25,2.7
145.37,7.53,31.05,22.54,2.87,34.5,44,24.5,998.9,27,1.9
137.81,25.14,36.47,39.93,4.57,36.1,45,26.3,998.1,24,2.7
97.7,5.92,29.95,20.66,1.05,35.5,44.2,27.2,996.6,35,2.9
77.95,7.35,34.24,24.09,1.2,37.8,44,25.9,996.3,30,3.5
90.6,5.94,32.13,21.84,1.57,34.5,44.4,29.6,997.6,48,2.6
175.12,5.71,26.21,18.51,1.13,35.9,42,29.4,999.7,46,2.7
69.97,6.84,23.06,17.31,0.5,32.3,42,26.6,1001.6,53,2.7
62.3,6.64,25.05,17.49,0.59,34,39.2,27.7,998.6,56,2.6
61.46,7.25,27.06,20.2,1.09,35.9,41,30.4,998.2,51,2.7
64.59,7.72,31.95,23.18,1.95,36.3,41.7,31.2,1000.7,52,2.6
68.35,18.01,48.96,43.42,1.41,33,41.6,28.5,1001.9,64,2.6
72.89,9.2,23.22,19.76,0.7,35.8,40.8,29.2,997,53,1.9
64.69,8.75,25.18,20.35,1.09,35.2,41.4,32,994.3,55,1.9
88.57,8.14,23.79,19.13,1.18,30.3,40.5,25.6,995.1,75,1.4
163,10.17,25.95,21.87,1.09,33,40.1,23.4,994.6,58,2.6
351.54,7.18,31.53,22.5,1.01,35.6,40.4,29.8,991.9,45,1.9
428.19,6.8,20.86,16.53,0.59,37,41,30.5,989.8,46,1.9
269.12,6.68,19.03,15.47,0.69,37.8,41.7,34,990.4,41,1.6
156.82,6.63,21.14,16.54,0.8,36.8,41.2,33,992.5,41,1.6
137.68,5.99,19.81,15.33,0.71,36.7,40.5,33.4,994.7,43,1.9
68.69,6.42,20.33,15.95,0.78,35.1,40.6,32.2,997.2,52,1.9
66.88,6.14,19.6,15.34,1.11,32.1,40,28.2,998.5,59,1.9
84.22,6.5,20.89,16.31,1.23,32.8,36.8,27.9,998.8,53,1.9
108.14,5.97,20.09,15.47,1.7,34.2,39.4,26.5,998.2,49,2.6
89.76,6.04,23.92,17.55,0.94,35.2,40.2,29.8,998.9,55,2.6
109.66,6.08,26.74,19.09,1.45,36.2,41.9,30.9,998.2,50,1.9
83.16,6.01,20.94,15.94,1.45,36.1,42,30,997.3,44,1.9
94.92,6.29,21.89,16.68,1.56,36.6,42.5,31.6,996.8,42,1.9
88.44,6.16,20.12,15.63,0.52,36.5,42.4,31.6,995.9,44,2.6
58.94,6.18,18.4,14.73,0.87,36.6,42.2,32.6,993.8,42,2.1
43.01,5.55,16.76,13.34,0.55,32.4,42.7,30.7,995.5,59,1.9
26.28,4.42,17.52,12.65,0.61,30.3,37.5,26.2,997.8,76,1.9
46.36,5.22,18.67,14.1,1.55,29.9,37.5,24.2,998.9,78,1.9
45.94,7.1,18.32,15.42,1.3,30.7,35.2,27.9,998.6,77,1.9
55.09,5.32,20.09,14.88,0.49,31.3,35.6,27.5,999,75,1.9
49.99,5.44,23.25,16.7,0.73,32.6,36.2,29,997.2,68,1.9
78.23,4.78,19.44,14.16,1.01,31.2,37.4,24.4,995.6,66,2.9
54.63,3.45,17.55,11.34,0.81,32.1,37.8,23.6,995.7,70,2.3
83.76,4.11,22.82,15.4,0.89,31.7,36.7,27.4,996.6,68,1.9
79.91,3.44,21.68,14.27,0.75,32.2,36.8,28.6,997.9,69,1.9
91.69,8.23,24.57,19.65,1.29,32.9,37.3,27.8,997.4,61,2.6
93.57,3.47,23.29,15.16,0.84,33.7,37.8,28.2,997,59,1.9
65.44,3.51,17.49,12.09,0.8,35.2,39.4,28.5,995.6,55,3.1
54.36,3.38,19.01,12.81,0.8,33.4,40.1,30.8,996.1,71,1.9
67.32,3.81,18.21,12.73,0.99,34.1,40.1,29.2,996.2,66,1.9
52.54,3.76,18.07,12.6,1.11,32.3,39.1,29.6,995.6,72,1.9
54,8.07,19.67,16.91,0.8,32.4,36.7,28.6,995.5,72,2.7
45.16,3.82,16.45,11.79,0.8,29.3,37.8,26.2,996.9,85,1.9
53.68,3.99,26.73,17.41,0.86,30.3,34.2,25.4,996.2,82,1.9
51.91,4.2,20.39,14.18,2.18,31.8,35.2,27.6,996.2,77,1.9
58.09,5.57,19.6,14.86,1.95,29.8,35.4,28.4,996.6,91,1.9
54.54,5.4,15.37,12.45,0.97,32.6,35.6,28,996.7,73,2.7
52.13,4.99,16.01,12.5,0.98,32.9,37.2,28.6,997.4,71,1.9
68.43,6.03,19.79,15.35,2.26,32.8,37.3,28.8,996.9,73,2.6
38.3,5.29,18.62,14.13,0.72,29.2,37.8,26,996.8,87,1.9
47.22,6.5,15.69,13.55,1.41,29.2,33.4,27,997.3,89,1.9
65.25,5.5,17.12,13.5,1.58,29,34.4,26,997.6,91,1.9
59.75,4.42,16.71,12.12,0.43,30.7,34.6,26.2,997.4,79,1.9
54.94,6.21,24.61,17.03,0.44,32.4,36.4,28.2,997.5,72,1.9
36.1,5.8,25.66,17.28,1.04,29.5,36.7,28,997.3,84,1.9
43.98,5.72,16.1,12.11,0.62,26.9,32.2,25.8,997.6,95,1.9
54.85,7.45,22.05,16.69,1.22,26.7,28.7,25.2,996.7,95,1.9
86.21,6.54,18.13,13.87,1.23,28.2,31.8,25.4,997.5,86,1.9
98.15,8.37,19.06,15.8,1.45,30.3,34.4,25.4,997.6,76,2.6
88.96,5.47,17.71,12.68,1.45,30.9,34.8,23,997.3,77,2.7
127.24,10.53,40.38,28.82,1.45,30,34.5,27.2,997,76,1.9
117.89,7.47,25.61,18.6,1.45,31.5,35,26,997,71,2.7
122.61,7.53,24.98,18.3,1.45,32.1,35.6,28.2,998.3,67,2.3
120.44,7.58,20.01,15.7,1.45,31.5,35.8,28.2,998.6,68,2.3
79.94,8.21,39.37,26.5,1.45,32.3,35.4,28.2,998.3,64,1.9
70.13,7.46,24.45,17.97,1.35,29.7,36,26.8,998.9,79,1.9
49.85,6.09,21.86,15.48,1.15,28.2,33.2,26.6,999.2,85,1.9
52.89,6.72,19.68,14.84,1.15,28.2,31.8,26.4,999.2,89,1.9
57.52,7.25,28.96,20.19,1.08,30.4,33.4,26.5,999.9,83,1.9
51.7,5.98,27.5,18.4,0.79,32,35.4,27.6,1001.8,73,2.3
45.4,6.31,23.95,16.77,0.45,30.7,36.5,28.3,1000.1,84,2.3
53.69,6.67,29.25,19.89,0.54,32.1,35.8,27.6,996.5,72,1.9
65.29,5.12,26.73,17.36,0.57,30.4,35.3,26.8,995.4,77,1.9
67.87,3.79,18.53,12.81,1,30.4,33.2,27.6,997.1,78,1.9
55.6,3.83,38.07,23.23,0.61,30.8,34.4,27.4,997.6,80,2.3
51.19,9.72,16.87,16.71,1.44,31.1,35.3,28.4,999.9,73,2.6
46.59,4.82,21.68,15.35,1.41,30.6,35.6,27.6,1000.6,79,2.3
63.69,12.02,37.84,29.73,0.95,31.5,35.6,27.9,998.3,78,1.9
83.13,15.28,35.48,31.09,0.95,30.4,36.2,27.8,998.1,81,1.9
46.9,9.01,37.54,27.18,0.95,30,33.6,25.9,999.8,83,1.9
52.64,12.78,39.78,31.36,0.95,31.7,36.4,26.2,999.2,73,1.9
49.53,9.17,31.11,23.84,0.97,30.9,36.8,28.8,998.7,79,1.9
50.8,9.34,31.07,23.97,1.45,29.6,35.8,27.2,999.8,83,2.3
46.48,9.09,30.16,23.3,1.45,30.4,34,27.2,999.1,76,3.1
45.61,8.57,34.11,25,1.45,30.3,34.4,27,998.5,73,2.6
53.1,10.23,41.53,30.27,1.36,31,34.2,27,998,73,3.2
43.05,10.81,37.55,28.57,1.25,29.6,34.9,26.5,999.8,83,2.6
50.09,14.68,35.39,30.57,1.24,28.4,32.7,26,1001.3,92,1.9
86.18,10.27,36.09,27.4,1.21,28.7,31.7,26.3,1001.9,88,1.9
72.04,13.57,33.62,28.37,0.94,30.9,34.4,26.3,999.1,78,1.9
57.02,15.31,33.72,30.17,0.95,30.9,35.1,28,1000,76,2.3
55.82,10.52,35.08,27.03,0.95,27.1,34,23.5,1002.6,93,1.8
74.67,16.83,38.08,33.5,0.95,26.7,29.4,25,1002.3,92,1.9
61.79,9,27.55,21.71,0.67,26.7,29,25.6,1002.4,95,1.6
74.64,10.69,20.11,15.68,1.3,27,29.6,25.1,1002.8,93,1.6
57.34,6.3,23.77,17.68,0.84,28.1,30.4,23.8,1002.4,86,2.1
52.9,6.22,23.72,17.56,2.59,30.2,35.6,25.2,1001.6,74,2.1
49.01,4.18,19.44,13.61,1.05,28.3,34.6,24.6,1003.2,86,2.1
50.66,4.83,23.25,16.17,0.39,28.7,34.1,25.5,1003.5,83,2.6
62.95,6.53,19.07,15.36,0.84,28.6,33.6,25,1005.2,80,3.1
53.74,5.25,20.14,14.91,0.5,28.7,32.7,24.8,1006.8,81,1.9
60.13,5.41,20.62,15.05,0.47,30.2,33.8,26,1005.3,76,2.7
57.82,5.58,19.16,14.66,0.5,30.4,34.3,26.5,1002.6,70,2.6
60.83,6.97,31.81,22.49,0.59,30.3,33.6,26.5,1003.3,67,2.6
63.38,4.66,20.86,14.78,0.64,29.5,34.4,22.2,1005.7,70,3.4
82.75,4.19,19.77,13.86,0.48,30.6,34.6,25.5,1007.3,60,4
82.85,4.88,24.72,17.04,0.75,29.6,34.6,25.5,1005.8,68,2.7
83.02,5.09,23.77,16.72,1.42,30.2,34.8,25.2,1004.7,61,3.4
85.05,3.93,24.12,15.96,1.85,28.7,35.2,23.2,1004.7,68,3.4
56.85,4.38,20.58,14.45,0.55,30,35.4,24,1005.2,66,2.7
54,4,18.98,13.27,0.53,28.3,35.7,23.8,1008,75,2.6
49.27,3.64,18.88,11.18,4.53,25.8,34,22.2,1008,91,1.9
43.59,4.99,17.03,12.88,0.47,27.3,30.2,25,1007.6,86,1.9
96.78,31.04,22.09,36.58,3.71,24.2,27.8,22,1007.4,90,1.8
103.86,38.8,26.82,45.3,6.58,27.1,32.2,22,1007.1,77,3.5
122.97,49.54,38.94,60.33,7.64,28,33.2,22.6,1007.8,75,2.7
87.77,12.7,24.9,22.53,0.75,29.3,35.4,23.2,1008.3,63,2.6
93.72,11.41,28.31,24.06,1.06,28.9,35.5,23.4,1009.1,65,2.3
115.68,10.52,29.33,23.96,2.11,28.1,35.2,24.2,1008.4,65,2.6
103.74,16.85,30.65,29.78,1.11,28.2,34.8,22.2,1008.4,66,2.7
117.61,15.08,29.46,27.72,2.1,28.7,35.2,22.5,1008.8,63,2.6
144.65,31.42,44.38,48.74,7.12,28.8,35.6,22.5,1008.5,59,2.6
99.42,14.68,33.13,29.36,1.91,28.6,36,23.4,1010,63,1.9
102.81,12.29,36.76,29.37,1.85,27.8,35.5,22.4,1010.9,67,1.9
127.12,21.84,42.17,39.9,3.11,27.1,35.2,21,1010.6,61,3.2
126.46,9.8,50.95,34.91,3.6,26.4,34.6,20.2,1010,63,2.3
116.86,28.85,48.34,48.77,3.06,27.5,34.8,20.1,1008.1,63,1.9
98.9,8.85,35.08,25.63,1.07,27.8,35.3,22.4,1007.4,66,1.9
80.7,9.64,33.02,25.27,2.25,28.8,35.5,23,1008,66,2.3
143.84,13.29,32.86,28.12,3.08,25.3,34.6,20.2,1010.7,64,1.9
112.28,16.71,36.66,32.76,2.77,24.8,32.3,17.5,1012.3,60,1.9
145.66,42.1,55.57,59.77,11.49,24.2,31.8,17.3,1011.6,58,2.6
125.04,19.71,49.52,41.87,3.87,25.7,32.5,17,1012.1,58,2.6
157.81,67.18,49.74,80.2,15.68,26.2,34.2,18.5,1011,63,1.9
130.16,22.55,48.73,43.81,4.31,25.6,34.4,19.2,1009.6,59,2.3
166.32,12.54,37.76,30.09,4.53,27.2,34.7,18,1009.4,58,2.6
151.28,10.17,37.67,28.17,4.91,27.1,34,17.8,1011,54,2.3
154.57,29.69,49.15,48.57,4,26,33.8,17.4,1013.8,52,2.4
176.87,42.51,35.25,50.82,15.45,24.5,31,15.3,1013.1,48,3.1
169.8,28.59,41.07,44.71,20.67,24.8,32,16,1013.3,49,2.9
229.84,39.65,40.05,53.03,23.68,25.9,33,16.1,1013.1,54,2.4
196.08,53.54,34.73,61.3,12.03,24.5,32.5,15,1014.8,58,2.4
204.72,41.42,35.4,51.96,9.08,24.2,32.4,15.8,1016.8,59,2.1
180.58,32.52,34.18,44.19,7.72,24.2,31,15.6,1016.7,62,1.9
139.02,44.55,36.5,55.05,15.23,24.2,32.1,15.5,1014.8,60,1.9
140.56,48.52,39.08,59.6,17.49,24.3,31.1,16.5,1015.5,63,1.6
141.9,11.13,29.1,24.39,12.94,24.1,31,16,1015.3,63,1.6
115.36,7.08,21.83,17.27,3.8,24.1,31.1,16,1014.3,65,1.6
87.54,5.84,15.19,12.75,1.26,24.6,32,16,1012.1,63,1.6
213.56,7.19,26.3,19.74,4.23,25.2,31.6,18.5,1011.7,63,1.9
142.75,8.49,38.09,27.05,3.68,24.4,30.6,18,1013.4,57,2.4
425.28,31.3,41.55,46.45,6.36,22.2,28,15.3,1014.7,42,2.7
254.02,58.68,49.59,71.87,10.01,20.3,28,12.5,1015.7,44,3.1
194.23,59.33,46.16,71.99,11.08,18.6,27.8,10.5,1014.7,58,1.4
121.39,15.02,46.59,36.76,4,21.8,31.4,13.4,1011.2,67,1.1
93.9,11.95,48.22,35.19,2.69,21.9,30.2,14.2,1009.6,74,1.3
129.34,8.64,37.56,26.89,1.66,22.2,29.4,17.6,1011.4,77,2.3
106.22,10.45,44.49,32.01,1.35,22.2,28.5,16.2,1015.2,67,2.4
84.72,24.3,48.24,45.1,1.97,20.7,29,11.3,1017.5,51,2.3
138.57,59.36,57.4,78.02,7.61,20.9,28,13.4,1017,49,3.2
114.18,118.87,65.4,129.88,10.13,19.3,27.9,10.4,1016.4,59,2.9
85.84,58.04,51.53,73.71,4.78,19.8,27.2,10.5,1016.3,64,2.1
135.81,62.61,44.99,74.01,9.84,20.8,28.2,10.7,1018,65,1.9
84.37,23.67,38.91,39.63,4.82,19.8,28.1,12.2,1018.8,71,1.8
72.61,54.04,40.95,63.91,6,19.3,26.2,10.7,1017.7,68,1.8
123.59,67.33,42.43,76.43,6.97,19.6,28,9,1014.6,56,2.4
118.31,72.75,41.32,80.17,8.5,18.9,28.1,8.6,1016.7,58,1.9
97.99,102.27,44.84,105.67,11.35,17.7,27.4,8.6,1017.8,67,1.6
89.44,48.79,39.98,60.3,6.88,18.3,26,8.4,1015.2,68,1.6
91.26,55.28,37.29,64.05,8.18,17.4,25,9.8,1015,72,1.8
118.96,79.39,46.54,88.27,27.94,17.5,25.1,8.8,1015.7,67,1.9
106.1,62.3,50.56,76.74,11.73,16.5,24.2,7.6,1016.3,70,1.8
116.87,35,55.69,57.62,7.19,17.4,25,8.2,1014.9,66,1.8
68.63,13.37,30.28,26.8,1.87,16.4,23.8,8.8,1016,80,1.1
77.46,17.68,31.49,30.9,3.15,17.2,22.3,12.6,1017.7,83,1.4
93.5,14.95,33.59,29.83,2.28,15.7,21.4,8,1022.8,74,1.9
104.15,24.16,38.45,39.79,4.42,15.3,22,8.2,1022.3,78,1.9
144.42,65.48,43.6,75.58,9.26,15.7,23,7.2,1022.3,68,1.9
149.76,22.16,35.76,36.75,4.74,14.2,23.5,6.2,1020.5,72,1.6
203.36,37.32,34.6,48.27,5.02,14.4,22.1,5.1,1018.6,68,1.8
228.47,75.99,34.88,79.35,10.88,14.8,22.3,5.2,1018.9,67,2.1
286.2,67.54,36.53,73.46,10.91,12.3,22.4,4,1017.9,74,1.3
231.86,57.36,39.46,66.87,10.57,11.3,22.3,4.7,1017.7,82,1.1
296.08,105.12,36.22,103.36,16.58,11.6,21.6,4,1018.3,81,1
282.54,56.47,30.54,61.41,10.22,12.2,21.8,3.7,1018.5,82,0.6
179.15,15.8,28.62,27.86,4.76,13.1,21.4,4.6,1017.7,78,1
212.68,73.15,39.58,79.57,11.9,12.3,19.4,6.2,1016.8,80,1.3
219.07,13.73,30.47,27.19,4.32,11.1,20.6,3.6,1015.7,76,1.3
225.01,38.31,27.96,45.52,6.51,11.6,21.4,3.4,1017.1,76,1.1
280.9,81.2,31.62,81.78,12.46,10.8,22,5,1018,81,0.8
435.12,116.34,35.03,111.7,20.63,10.9,19.6,2.6,1020,75,1.1
247.85,66.63,29,68.73,9.94,11.9,22.4,3,1021.6,72,1.3
241.64,42.84,33.07,51.86,9.58,12,22.9,3.8,1021.2,73,0.8
367.5,89.42,29.25,87.08,15.76,12.8,22.6,4,1020,75,1.3
223.09,10.92,23.83,21.41,2.79,13.8,23,6.5,1020.7,79,1.1
270.7,57.88,30.48,62.52,11.91,13.5,23.4,6.7,1021.3,83,0.6
157.02,20.18,35.02,34.77,4.61,12.2,20.5,7.1,1020.3,88,0.6
123.1,22.75,24.89,31.44,2.6,13.2,21,5.4,1018.2,83,1.3
174.54,31.25,24.24,37.89,4.28,13.9,21.2,8.6,1018.4,91,1.1
158.44,8.83,23.84,19.74,2.28,13.2,20,7.1,1019.9,88,0.8
159.1,16.99,27.22,28.07,2.97,13.6,20.1,7,1017.5,85,0.8
305.58,135.3,40.32,129.69,21.75,13.5,20.4,8,1017.2,78,1.4
327.89,110.7,46.89,113.5,18.5,12.2,20.6,4.8,1017.1,83,1.3
210.26,38.48,40.94,52.56,9.72,12.7,21.6,4.8,1018.7,84,1.3
125.64,8.18,19.62,16.98,1.69,13.8,22.3,7.1,1017.7,82,0.8
105.63,6.88,21.83,17.11,1.52,15.7,22.9,8.5,1019.6,82,1.3
181.98,42.16,35.04,52.37,6.87,13.3,23.5,8,1019.3,69,2.3
256.51,82.26,48.02,90.73,16.89,11.2,19.5,6,1018.7,80,1.6
207.29,16.7,30.94,29.82,4.62,12.2,19.6,4.5,1018.4,82,0.8
222.35,66.51,32.88,70.7,8.54,12.8,22,4.2,1017.3,80,1
280.41,111.08,45.53,113.08,22.25,12.8,22.2,4.8,1017,81,1
164.84,34.25,35.92,46.51,6.95,14.8,25.4,5.7,1017.1,79,1.3
54.75,5.69,18.16,14.21,0.99,17.5,28.2,7,1015.5,79,1.3
87.49,19.84,20.71,26.89,5.97,16.4,28.7,11.5,1012.8,87,1.4
148.3,25.4,26.02,34.16,5.97,14.5,22.6,11.5,1014.8,97,1.4
73.76,6.61,16.13,13.87,0.52,13.8,19.4,8,1018.1,93,0.8
121.85,6.04,17.89,14.35,2.21,14.8,21,9.7,1019.7,88,1.1
129.92,8.85,21.63,18.58,0.92,13.4,22,9.2,1020.2,87,1.8
122.22,9.57,22.94,19.86,1.32,12.2,19,6,1022.9,75,2.1
133.34,9.46,24.24,20.46,3.76,12.9,19.2,5.2,1022.9,73,1.9
178.06,40.74,29.16,48.1,3.57,13.3,19,5.5,1021.8,71,2.7
212.32,68.15,36.84,74.11,8.28,14.1,20,5.4,1020.7,68,2.4
126.12,11.37,38.25,29.28,4.1,14.2,21,5.2,1018.9,70,1.6
147.19,6.09,16.21,13.5,4.54,15.5,21,8.2,1017.6,78,1.9
145.12,10.28,17.26,17.41,2.43,16.3,22,11,1018.9,82,1.4
104.75,15.99,19.38,23.1,2.11,12.9,22.5,8.2,1018.8,92,0.8
213.35,120.34,41.76,118.49,14.09,13.8,20,9.4,1020.2,88,1.1
130.97,22.53,34.1,36.16,3.05,15.5,23,8,1020.3,76,2.1
76.45,5.09,15.89,12.52,1.01,17.9,25,9,1015.5,74,1.6
78.08,7.18,17.79,15.2,0.44,16.5,25.1,13.2,1012.4,96,1.6
151.53,44.83,24.12,48.69,0.33,14.9,20.4,7,1017.2,72,2.1
191.1,54.16,27.9,58.16,0.66,14.8,20.6,8.4,1019.5,71,2.6
186.56,45.5,31.68,53.25,5.6,14.8,22,6,1020.1,74,1.8
145.35,37.9,38.87,50.99,9.65,15.6,22,7,1020.6,71,1.9
127.15,11.71,34.07,27.49,3.76,17.5,23.2,10.6,1021.4,75,1.1
93.71,14.76,21.82,23.41,1.05,19.3,25,11.4,1017.8,70,1.6
106.95,6.34,13.52,12.26,0.75,17.7,25.3,13.9,1015.2,88,1.4
178.61,7.27,17.98,15.38,0.44,17.6,23,11.8,1016.4,83,1.8
120.69,22.97,23.79,28.82,2.84,16,22,12,1016.4,87,1
91.36,8.01,18.16,16.07,0.42,16.8,22,10.5,1013.4,76,1.4
117.01,20.99,35.65,35.75,11,18.4,26,11.2,1008.1,70,2.1
59.36,15.17,20.96,23.29,1.44,18.7,25.8,12,1014.3,78,1.9
82.07,24.07,17.28,28.44,1.53,18.3,24.5,14.5,1017.4,86,1.9
56.43,5.81,16.16,13.25,0.54,21.6,28,13.2,1015.9,72,2.9
74.02,7.57,20.47,16.95,0.53,19.1,28.1,14.6,1016.4,76,1.9
88.92,11.36,27.41,23.67,2.96,17.6,23.4,10.5,1014.4,63,3.1
56.85,9.68,25.74,21.43,0.75,17.6,24,11.4,1011.2,63,3.2
46.63,5.89,17.14,13.83,0.89,16.2,23.8,9.2,1010.9,74,1.9
77.88,21.19,18.35,26.71,2.77,15.3,25.4,10.3,1011.2,80,1.9
75.29,10.59,17.95,18.02,0.49,14.3,21,9.5,1012.2,81,1.9
89.33,14.38,30.07,27.5,1.91,14.1,21,6.8,1015.8,74,2.3
52.83,6.24,18.35,14.75,0.91,16.3,23.4,6.8,1015.7,66,1.9
93.87,33.52,18.38,35.23,4.38,15.2,24.1,12.8,1016.3,91,1.1
69.37,7.16,15.1,13.67,0.53,17.1,22.4,12.8,1011.8,87,1.9
74.63,10.42,20.21,19.09,0.74,19.7,24,11.2,1009.9,71,1.9
84.7,16.34,19.71,23.55,4.86,18.4,23.9,12,1011.3,66,2.1
86.38,19.49,23.59,28.14,20.88,18.2,24,11,1011.8,62,2.6
77.97,6.51,17.81,14.39,8.44,19.5,26,9,1012,55,2.7
75.84,6.46,19.23,15.4,8.3,20.4,26.5,10.8,1013.4,60,2.7
89.66,10.29,27.98,23.12,13.11,20.6,26.5,12.6,1014.1,59,3.4
87.26,11.66,19.74,19.7,10.41,19.6,27,10.8,1014.2,57,3.4
101.53,6.42,22,16.53,11,22.8,28,12.4,1014,59,3.4
139.61,26.61,27.9,36.13,19.62,22.1,28.4,12.8,1015,54,2.9
77.62,5.6,18.61,14.28,7.18,18.6,25,11.8,1016.7,71,2.6
111.2,8.96,21.19,18.44,10.31,20.2,26,10.4,1017.7,64,2.7
109.07,10.31,19.7,18.73,9.09,21.6,26,12.5,1016.4,59,2.7
120.2,14.74,21.95,23.47,10.92,22.1,28,13.8,1014.2,58,2.7
88.58,10.58,33.23,24.83,8.46,21.8,28.6,12,1012.8,60,2.6
74,4.86,42.39,9.56,0.78,26.9,34,15.5,1009.2,51,2.9
76.59,5.19,52.41,32.03,5.31,25.6,34.1,16.6,1012.3,44,2.7
68.82,5.46,32.02,21.4,4.58,23.9,31.6,15.5,1014.1,44,3.2
